BK01 BLACK ,#000000
C365 CANNELLE ,#b33c00
H022 VERSION FIGUE ,#99003d
I132 CHARBON ,#404040
BL72 BLUE ,#0033cc
R158 FLAMENCO ,#cc0000
PK1A NUDE ,#ffe6cc
WHA8 LATTE ,#ffffff
G001 VERSION GOLD ,#e6e600
U245 EVEREST ,#009999
R226 BISOU ,#ff5c33
PL07 PLATINE,#ffffcc
SV20 SILVER ,#e6e6e6
E168 ARGILE ,#ccccb3
U244 CHINA BLUE ,#002b80
WH62 IVORY ,#ffffe6
E172 OPAL ,#b3ffec
C245 ROCHE ,#8c8c8c
R133 ROUGISSIME ,#b30000
P195 BEGONIA ,#ff6666
P224 POMPADOUR ,#ffe6e6
N046 NU,#fff2e6
BL5E DENIM ,#0066cc
I154 STORM ,#808080
C340 PUR SANG ,#663300
,
